Time(s),Voltage(V)
-39.9669,-3.2828
-38.8916,-0.8639
-40.6838,-3.9740
-40.6838,-3.9740
-42.8345,-4.6651
-42.4761,-2.5917
-43.9099,-2.2462
-43.1930,-2.5917
-44.2683,-2.2462
-45.1644,-3.1101
-46.0605,-1.2095
-45.8813,-1.7278
-49.6450,-2.2462
-49.6450,-2.2462
-50.8996,-1.7278
-49.1073,0.3456
-52.8710,-1.5550
-52.1542,-2.5917
-52.8710,-3.2828
-53.7672,-1.3822
-56.0971,-1.2095
-56.6347,-1.7278
-56.6347,-1.7278
-57.5309,-0.8639
-58.7854,0.0000
-59.1439,0.3456
-60.2192,0.0000
-62.5491,0.1728
-64.1622,-1.0367
-64.6998,-0.8639
-66.1336,0.5183
-66.1336,0.5183
-65.7752,0.5183
-65.9544,-0.3456
-65.7752,0.1728
-66.6713,-1.0367
-66.4921,0.1728
-68.1051,0.0000
-68.2843,-0.5183
-69.3596,-0.8639
-69.3596,-0.8639
-68.8220,-1.0367
-69.5389,-0.3456
-68.8220,0.0000
-68.6428,0.8639
-69.5389,-1.3822
-70.0765,0.1728
-70.0765,-0.8639
-69.8973,-1.3822
-71.3311,-0.3456
-71.3311,-0.3456
-71.3311,-0.3456
-69.5389,-1.0367
-69.5389,0.0000
-69.1804,-0.3456
-68.2843,-1.9006
-70.0765,-0.8639
-68.8220,-1.7278
-67.3882,0.6911
-67.3882,0.6911
-67.2090,-1.9006
-67.2090,-1.2095
-67.9259,-1.9006
-67.2090,-0.5183
-66.1336,-1.5550
-65.5959,-2.0734
-64.6998,-2.2462
-64.6998,-2.2462
-65.2375,-2.4189
-62.0115,-0.3456
-63.0868,-1.7278
-64.1622,-1.3822
-61.6530,-0.6911
-59.8608,-2.4189
-58.9647,-1.2095
-58.9647,-0.8639
-55.7386,-2.5917
-55.7386,-2.5917
-53.7672,-2.0734
-54.3048,-1.9006
-53.9464,-2.5917
-52.8710,-2.2462
-51.6165,-1.3822
-51.4373,-2.2462
-47.8528,-1.9006
-46.5982,-2.4189
-46.2398,-2.4189
-46.2398,-2.4189
-42.8345,-3.6284
-43.3722,-3.1101
-41.9384,-3.8012
-38.7124,-4.1467
-40.1462,-3.1101
-36.0240,-2.9373
-35.6656,-3.2828
-34.0525,-3.8012
-34.0525,-3.8012
-34.0525,-3.1101
-33.6941,-6.2201
-34.0525,-3.4556
-34.2318,-4.3195
-33.3356,-2.7645
-31.3642,-2.5917
-29.2135,-4.3195
-29.2135,-4.3195
-30.2888,-5.3562
-27.7797,-3.9740
-26.3459,-3.9740
-27.2420,-4.1467
-24.9121,-6.0473
-26.5251,-4.8379
-24.5537,-3.2828
-24.3744,-5.1834
-23.6576,-5.5290
-23.8368,-5.0107
-23.8368,-5.0107
-22.4030,-3.2828
-22.5822,-4.1467
-20.0731,-5.8746
-18.4601,-5.7018
-17.7432,-5.0107
-18.4601,-6.3929
-16.3094,-4.6651
-14.5171,-5.7018
-14.5171,-5.7018
-15.2340,-3.9740
-14.3379,-5.5290
-13.9795,-4.4923
-13.9795,-5.1834
-14.1587,-5.0107
-13.9795,-5.5290
-12.7249,-5.3562
-12.7249,-5.3562
-13.4418,-4.6651
-14.8756,-4.6651
-15.4133,-4.8379
-16.1301,-6.9112
-13.9795,-5.1834
-16.1301,-4.4923
-17.2055,-5.5290
-15.5925,-3.6284
-16.3094,-5.0107
-16.3094,-5.0107
-17.5639,-4.1467
-19.3562,-4.1467
-19.3562,-5.1834
-17.9224,-5.1834
