Time(s),Voltage(V)
23.9375,45.1644
23.9375,45.1644
23.9375,45.1644
24.4734,2.3299
24.4734,2.3299
24.4734,2.3299
51.9837,29.5719
51.9837,29.5719
51.9837,29.5719
51.9837,29.5719
18.7570,45.3436
18.7570,45.3436
18.7570,45.3436
18.7570,45.3436
26.7957,3.5845
26.7957,3.5845
26.7957,3.5845
45.7314,19.7146
45.7314,19.7146
45.7314,19.7146
18.9356,25.0913
18.9356,25.0913
18.9356,25.0913
18.9356,25.0913
23.0443,-18.1016
23.0443,-18.1016
23.0443,-18.1016
23.0443,-18.1016
33.7626,13.0833
33.7626,13.0833
33.7626,13.0833
4.2873,7.5274
4.2873,7.5274
4.2873,7.5274
4.2873,7.5274
13.2192,-28.6758
13.2192,-28.6758
13.2192,-28.6758
13.3979,9.8573
13.3979,9.8573
13.3979,9.8573
13.3979,9.8573
-17.1493,-8.2443
-17.1493,-8.2443
-17.1493,-8.2443
-17.1493,-8.2443
-3.2155,-28.6758
-3.2155,-28.6758
-3.2155,-28.6758
-10.3610,12.9041
-10.3610,12.9041
-10.3610,12.9041
-10.3610,12.9041
-34.8344,-13.8002
-34.8344,-13.8002
-34.8344,-13.8002
-20.0075,-18.9977
-20.0075,-18.9977
-20.0075,-18.9977
-20.0075,-18.9977
-34.6558,23.2991
-34.6558,23.2991
-34.6558,23.2991
-51.0905,-12.1872
-51.0905,-12.1872
-51.0905,-12.1872
-51.0905,-12.1872
-30.7258,0.7169
-30.7258,0.7169
-30.7258,0.7169
-51.8051,35.4863
-51.8051,35.4863
-51.8051,35.4863
-51.8051,35.4863
-57.8788,-0.7169
-57.8788,-0.7169
-57.8788,-0.7169
-57.8788,-0.7169
-39.1218,28.4966
-39.1218,28.4966
-39.1218,28.4966
-62.1661,50.8996
-62.1661,50.8996
-62.1661,50.8996
-62.1661,50.8996
-54.8419,18.1016
-54.8419,18.1016
-54.8419,18.1016
-39.4790,51.4373
-39.4790,51.4373
-39.4790,51.4373
-39.4790,51.4373
-63.5952,64.5206
-63.5952,64.5206
-63.5952,64.5206
-48.4110,38.1747
-48.4110,38.1747
-48.4110,38.1747
-48.4110,38.1747
-33.7626,75.8117
-33.7626,75.8117
-33.7626,75.8117
-55.1992,72.9441
-55.1992,72.9441
-55.1992,72.9441
-55.1992,72.9441
-27.1530,52.3334
-27.1530,52.3334
-27.1530,52.3334
-27.1530,52.3334
-20.7220,91.4042
-20.7220,91.4042
-20.7220,91.4042
-36.7995,73.1234
-36.7995,73.1234
-36.7995,73.1234
-36.7995,73.1234
-2.5009,62.0115
-2.5009,62.0115
-2.5009,62.0115
-5.1805,95.8848
-5.1805,95.8848
-5.1805,95.8848
-15.3629,68.4635
-15.3629,68.4635
-15.3629,68.4635
-15.3629,68.4635
20.7220,63.4453
20.7220,63.4453
20.7220,63.4453
20.7220,63.4453
8.7533,89.7912
8.7533,89.7912
8.7533,89.7912
5.0019,52.6918
5.0019,52.6918
5.0019,52.6918
5.0019,52.6918
39.8363,58.2478
39.8363,58.2478
39.8363,58.2478
39.8363,58.2478
39.8363,58.2478
39.8363,58.2478
39.8363,58.2478
22.5084,34.0525
22.5084,34.0525
22.5084,34.0525
22.5084,34.0525
46.0887,50.1827
46.0887,50.1827
46.0887,50.1827
20.0075,59.8608
20.0075,59.8608
20.0075,59.8608
29.2967,25.8082
29.2967,25.8082
29.2967,25.8082
29.2967,25.8082
19.4716,59.3231
19.4716,59.3231
19.4716,59.3231
19.4716,59.3231
21.0793,58.7854
21.0793,58.7854
21.0793,58.7854
19.2929,60.2192
19.2929,60.2192
19.2929,60.2192
19.2929,60.2192
20.0075,58.4270
20.0075,58.4270
20.0075,58.4270
18.9356,59.1439
18.9356,59.1439
18.9356,59.1439
18.9356,59.1439
18.9356,59.8608
18.9356,59.8608
18.9356,59.8608
18.9356,59.8608
19.8288,61.1153
19.8288,61.1153
19.8288,61.1153
19.4716,59.3231
19.4716,59.3231
19.4716,59.3231
19.2929,60.9361
19.2929,60.9361
19.2929,60.9361
19.2929,60.9361
18.0425,61.1153
18.0425,61.1153
18.0425,61.1153
18.0425,61.1153
19.6502,60.9361
19.6502,60.9361
