Time(s),Voltage(V)
35.4863,17.2781
35.4863,17.2781
34.4110,17.2781
35.8448,16.2414
35.6656,17.4509
35.3071,17.1053
35.3071,18.1420
35.1279,17.6237
35.6656,16.7598
35.4863,17.6237
35.4863,17.6237
34.5902,17.4509
35.4863,17.2781
35.3071,17.1053
35.1279,19.3515
32.9772,18.6604
33.8733,16.4142
34.0525,16.5870
34.5902,17.4509
32.9772,16.5870
32.9772,16.5870
34.9487,18.4876
32.4395,18.8332
53.7672,10.0213
28.1382,22.6343
31.1850,-2.4189
43.1930,27.8178
43.0137,29.3728
43.1930,29.5456
43.1930,29.5456
44.0891,28.3361
43.0137,29.0272
22.0445,5.7018
61.6530,2.7645
53.5879,24.0166
34.5902,-0.5183
74.0195,7.4296
56.9932,22.4616
56.9932,22.4616
43.5514,-3.9740
79.2170,14.1681
52.5126,17.7965
46.5982,-2.4189
78.1416,20.0426
41.7592,14.6864
46.4190,1.5550
69.3596,26.0900
69.3596,26.0900
25.8082,13.8225
42.4761,7.7752
52.8710,28.5089
9.4989,12.6130
36.5617,11.7491
34.0525,28.6817
-4.4806,10.1941
32.4395,13.3042
15.5925,26.0900
15.5925,26.0900
-11.6496,7.4296
29.0343,12.0947
-0.3584,20.7337
-9.4989,3.9740
25.8082,11.4036
-10.9327,15.7231
-4.1221,-2.2462
25.8082,8.9846
25.8082,8.9846
-12.5457,10.3669
11.1119,-8.2935
24.5537,8.8118
-8.2443,6.2201
25.0913,-8.2935
28.3174,9.6757
-0.7169,0.6911
-0.7169,0.6911
39.6085,-7.4296
30.8265,12.7858
12.3664,-5.7018
53.5879,-1.9006
55.5594,11.4036
3.7637,10.1941
36.5617,-11.4036
36.5617,16.2414
-7.7066,11.5763
-7.7066,11.5763
32.4395,-3.9740
18.4601,22.9799
-20.0731,11.0580
30.4681,5.8746
0.3584,25.5716
-20.7900,10.3669
31.7226,12.9586
-7.8859,26.2627
-14.8756,9.5030
-14.8756,9.5030
33.5149,20.5610
-11.6496,26.0900
-2.5091,9.6757
40.6838,30.2367
-8.2443,20.0426
17.9224,10.7124
50.0035,32.3101
50.0035,32.3101
1.0753,11.4036
37.8162,9.8485
55.5594,32.1373
14.3379,3.4556
57.1724,8.1207
60.7569,28.8545
25.8082,-4.4923
74.1987,9.6757
74.1987,9.6757
59.8608,24.8805
37.6370,-8.6391
83.5183,14.5136
53.2295,23.3255
43.3722,-10.3669
81.1884,17.4509
42.2968,20.7337
45.5229,-7.9479
73.1234,20.0426
73.1234,20.0426
25.4498,17.9692
43.3722,-5.5290
57.8893,21.5977
39.4293,29.0272
38.8916,29.8911
40.3254,28.8545
38.5331,28.8545
38.8916,30.2367
38.8916,30.2367
39.7877,29.7184
39.6085,29.8911
39.9669,30.5823
39.6085,30.2367
39.9669,29.5456
38.7124,30.4095
39.9669,28.5089
38.3539,29.7184
38.3539,29.7184
38.8916,17.7965
38.8916,17.1053
40.3254,18.1420
38.1747,17.4509
40.5046,17.2781
39.7877,16.9326
39.4293,15.8959
39.2500,16.7598
39.2500,16.7598
40.1462,16.9326
