Time(s),Voltage(V)
25.0913,5.8746
25.0913,5.8746
5.1975,-8.4663
5.1975,-8.4663
5.5559,-7.7752
5.5559,-7.7752
4.6598,-7.2568
4.6598,-7.2568
3.9429,-6.5657
3.9429,-6.5657
4.8390,-8.4663
4.8390,-8.4663
-6.4521,22.4616
-6.4521,22.4616
-6.8105,3.1101
-6.8105,3.1101
-6.8105,3.1101
20.2523,12.9586
20.2523,12.9586
-15.4133,25.5716
-15.4133,25.5716
-0.7169,2.0734
-0.7169,2.0734
19.3562,24.8805
19.3562,24.8805
-13.9795,24.8805
-13.9795,24.8805
11.8288,4.8379
11.8288,4.8379
22.2238,30.4095
22.2238,30.4095
-7.3482,16.7598
-7.3482,16.7598
28.3174,8.6391
28.3174,8.6391
29.3927,32.4829
29.3927,32.4829
8.6027,6.9112
8.6027,6.9112
50.0035,10.5397
50.0035,10.5397
38.3539,26.9539
38.3539,26.9539
27.4213,-1.5550
27.4213,-1.5550
27.4213,-1.5550
67.2090,14.6864
67.2090,14.6864
45.7021,17.7965
45.7021,17.7965
44.0891,-5.8746
44.0891,-5.8746
80.6507,15.2047
80.6507,15.2047
48.3905,8.9846
48.3905,8.9846
56.9932,-7.9479
56.9932,-7.9479
83.8768,15.2047
83.8768,15.2047
43.1930,3.9740
43.1930,3.9740
65.0583,-7.4296
65.0583,-7.4296
77.6039,11.9219
77.6039,11.9219
36.5617,0.6911
36.5617,0.6911
67.3882,-5.8746
67.3882,-5.8746
64.8791,13.1314
64.8791,13.1314
25.9875,-1.5550
25.9875,-1.5550
63.6245,-3.2828
63.6245,-3.2828
44.8060,13.1314
44.8060,13.1314
16.6678,-4.3195
16.6678,-4.3195
53.0503,-2.0734
53.0503,-2.0734
23.4783,12.9586
23.4783,12.9586
23.4783,12.9586
7.8859,-1.3822
7.8859,-1.3822
40.3254,2.2462
40.3254,2.2462
2.3299,17.1053
2.3299,17.1053
2.8676,-2.0734
2.8676,-2.0734
28.4966,8.4663
28.4966,8.4663
-12.1872,18.6604
-12.1872,18.6604
3.7637,-10.8852
3.7637,-10.8852
30.1096,-4.1467
30.1096,-4.1467
-0.8961,21.2521
-0.8961,21.2521
-9.6781,1.7278
-9.6781,1.7278
41.7592,3.6284
41.7592,3.6284
-0.8961,19.1787
-0.8961,19.1787
8.9612,-1.7278
8.9612,-1.7278
53.7672,10.0213
53.7672,10.0213
3.2260,13.1314
3.2260,13.1314
3.2260,13.1314
31.3642,-4.6651
31.3642,-4.6651
62.9076,15.7231
62.9076,15.7231
13.2626,6.2201
13.2626,6.2201
56.0971,-3.2828
56.0971,-3.2828
67.3882,19.0059
67.3882,19.0059
23.6576,-1.3822
23.6576,-1.3822
75.2740,3.8012
75.2740,3.8012
69.7181,23.6710
69.7181,23.6710
34.5902,-4.3195
34.5902,-4.3195
88.3574,12.6130
88.3574,12.6130
60.2192,25.2261
60.2192,25.2261
42.4761,-3.6284
42.4761,-3.6284
87.8197,23.8438
87.8197,23.8438
48.2112,25.3988
48.2112,25.3988
48.2112,25.3988
43.9099,-2.2462
43.9099,-2.2462
79.2170,32.4829
79.2170,32.4829
29.0343,20.7337
46.4190,1.5550
46.4190,1.5550
59.6816,37.8391
59.6816,37.8391
59.6816,37.8391
13.9795,17.6237
13.9795,17.6237
44.0891,7.6024
44.0891,7.6024
36.0240,43.7136
36.0240,43.7136
0.7169,14.8592
0.7169,14.8592
36.5617,15.2047
36.5617,15.2047
9.8573,41.6403
9.8573,41.6403
-5.9144,10.5397
-5.9144,10.5397
30.2888,16.0687
30.2888,16.0687
-10.5742,36.4568
-10.5742,36.4568
-6.8105,4.1467
-6.8105,4.1467
24.5537,17.4509
24.5537,17.4509
-22.5822,26.9539
-22.5822,26.9539
2.5091,-0.6911
