Time(s),Voltage(V)
28.4035,14.8756
28.4035,14.8756
28.4035,14.8756
30.1899,22.4030
30.1899,22.4030
30.1899,22.4030
32.1549,30.8265
32.1549,30.8265
32.1549,30.8265
32.1549,30.8265
31.9762,34.2318
31.9762,34.2318
31.9762,34.2318
31.9762,34.2318
33.0481,40.3254
33.0481,40.3254
33.0481,40.3254
31.2617,50.7204
31.2617,50.7204
31.2617,50.7204
27.5103,54.1256
27.5103,54.1256
27.5103,54.1256
27.5103,54.1256
24.8307,55.7386
24.8307,55.7386
24.8307,55.7386
24.8307,55.7386
20.3648,60.9361
20.3648,60.9361
20.3648,60.9361
12.8620,67.0297
12.8620,67.0297
12.8620,67.0297
12.8620,67.0297
6.0737,69.1804
6.0737,69.1804
6.0737,69.1804
-2.3223,74.0195
-2.3223,74.0195
-2.3223,74.0195
-2.3223,74.0195
-15.3629,72.0480
-15.3629,72.0480
-15.3629,72.0480
-29.6539,66.3128
-29.6539,66.3128
-29.6539,66.3128
-29.6539,66.3128
-40.7295,59.1439
-40.7295,59.1439
-40.7295,59.1439
-46.4459,45.1644
-46.4459,45.1644
-46.4459,45.1644
-46.4459,45.1644
-46.2673,33.5149
-46.2673,33.5149
-46.2673,33.5149
-46.2673,33.5149
-46.4459,25.8082
-46.4459,25.8082
-46.4459,25.8082
-40.9081,18.1016
-40.9081,18.1016
-40.9081,18.1016
-40.9081,18.1016
-37.1567,8.2443
-37.1567,8.2443
-37.1567,8.2443
-39.3004,12.5457
-39.3004,12.5457
-39.3004,12.5457
-39.3004,12.5457
-45.5527,14.1587
-45.5527,14.1587
-45.5527,14.1587
-39.1218,11.6496
-39.1218,11.6496
-39.1218,11.6496
-39.1218,11.6496
-31.2617,0.5377
-31.2617,0.5377
-31.2617,0.5377
-22.6871,-3.7637
-22.6871,-3.7637
-22.6871,-3.7637
-22.6871,-3.7637
-17.5065,-6.0936
-17.5065,-6.0936
-17.5065,-6.0936
-17.5065,-6.0936
-14.1124,-6.9897
-14.1124,-6.9897
-14.1124,-6.9897
1.2505,-5.9144
1.2505,-5.9144
1.2505,-5.9144
1.2505,-5.9144
2.1437,-1.4338
2.1437,-1.4338
2.1437,-1.4338
3.2155,-3.9429
3.2155,-3.9429
3.2155,-3.9429
12.8620,-2.5091
12.8620,-2.5091
12.8620,-2.5091
12.8620,-2.5091
16.4347,-2.1507
16.4347,-2.1507
16.4347,-2.1507
16.4347,-2.1507
21.4366,1.7922
21.4366,1.7922
21.4366,1.7922
