Time(s),Voltage(V)
-20.5434,50.7204
-20.5434,50.7204
-20.5434,50.7204
-46.6246,33.1564
-46.6246,33.1564
-46.6246,33.1564
-22.3298,15.9509
-22.3298,15.9509
-22.3298,15.9509
-22.3298,15.9509
-28.4035,63.6245
-28.4035,63.6245
-28.4035,63.6245
-28.4035,63.6245
-41.9800,30.2888
-41.9800,30.2888
-41.9800,30.2888
-14.6483,34.7694
-14.6483,34.7694
-14.6483,34.7694
-30.1899,70.0765
-30.1899,70.0765
-30.1899,70.0765
-30.1899,70.0765
-32.5122,28.3174
-32.5122,28.3174
-32.5122,28.3174
-32.5122,28.3174
-6.7883,49.8242
-6.7883,49.8242
-6.7883,49.8242
-28.2248,72.0480
-28.2248,72.0480
-28.2248,72.0480
-28.2248,72.0480
-17.8638,29.0343
-17.8638,29.0343
-17.8638,29.0343
-13.9338,16.8470
-13.9338,16.8470
-13.9338,16.8470
-13.9338,16.8470
-6.0737,73.8402
-6.0737,73.8402
-6.0737,73.8402
-6.0737,73.8402
-42.6945,57.5309
-42.6945,57.5309
-42.6945,57.5309
-16.7920,15.7717
-16.7920,15.7717
-16.7920,15.7717
-16.6134,74.0195
-16.6134,74.0195
-16.6134,74.0195
-16.6134,74.0195
-47.3391,38.8916
-47.3391,38.8916
-47.3391,38.8916
-47.3391,38.8916
-16.7920,12.1872
-16.7920,12.1872
-16.7920,12.1872
-25.7239,70.2558
-25.7239,70.2558
-25.7239,70.2558
-25.7239,70.2558
-47.3391,23.1199
-47.3391,23.1199
-47.3391,23.1199
-12.6833,12.3664
-12.6833,12.3664
-12.6833,12.3664
-12.6833,12.3664
-30.5471,61.1153
-30.5471,61.1153
-30.5471,61.1153
-30.5471,61.1153
-44.3023,5.0183
-44.3023,5.0183
-44.3023,5.0183
-5.8951,12.0080
-5.8951,12.0080
-5.8951,12.0080
-33.0481,48.9281
-33.0481,48.9281
-33.0481,48.9281
-33.0481,48.9281
-32.3335,-6.6313
-32.3335,-6.6313
-32.3335,-6.6313
-32.3335,-6.6313
1.2505,18.8185
1.2505,18.8185
1.2505,18.8185
-32.3335,39.2500
-32.3335,39.2500
-32.3335,39.2500
-32.3335,39.2500
-19.8288,-13.4418
-19.8288,-13.4418
-19.8288,-13.4418
10.1824,24.1952
10.1824,24.1952
10.1824,24.1952
10.1824,24.1952
-29.2967,28.6758
-29.2967,28.6758
-29.2967,28.6758
-29.2967,28.6758
-1.6077,-12.3664
-1.6077,-12.3664
-1.6077,-12.3664
14.6483,32.2603
14.6483,32.2603
14.6483,32.2603
-23.2230,19.7146
-23.2230,19.7146
-23.2230,19.7146
-23.2230,19.7146
14.6483,-5.3767
14.6483,-5.3767
14.6483,-5.3767
13.9338,43.3722
13.9338,43.3722
13.9338,43.3722
13.9338,43.3722
-15.3629,13.9795
-15.3629,13.9795
-15.3629,13.9795
-15.3629,13.9795
27.8676,7.8859
27.8676,7.8859
27.8676,7.8859
10.5397,53.9464
10.5397,53.9464
10.5397,53.9464
10.5397,53.9464
-9.8251,12.3664
-9.8251,12.3664
-9.8251,12.3664
33.4053,26.7044
33.4053,26.7044
33.4053,26.7044
33.4053,26.7044
1.2505,62.1907
1.2505,62.1907
1.2505,62.1907
-3.3941,11.6496
-3.3941,11.6496
-3.3941,11.6496
-3.3941,11.6496
30.3685,46.9567
30.3685,46.9567
30.3685,46.9567
-11.0756,64.1622
-11.0756,64.1622
-11.0756,64.1622
-11.0756,64.1622
2.3223,16.3094
2.3223,16.3094
2.3223,16.3094
2.3223,16.3094
21.2579,63.2660
21.2579,63.2660
21.2579,63.2660
-20.1861,61.1153
-20.1861,61.1153
-20.1861,61.1153
-20.1861,61.1153
0.7146,19.3562
0.7146,19.3562
0.7146,19.3562
5.1805,77.9624
5.1805,77.9624
5.1805,77.9624
5.1805,77.9624
-30.7258,52.3334
-30.7258,52.3334
-30.7258,52.3334
-12.1474,52.3334
-12.1474,52.3334
-12.1474,52.3334
-12.1474,52.3334
-14.1124,51.7957
-14.1124,51.7957
-14.1124,51.7957
-12.5047,51.2580
-12.5047,51.2580
-12.5047,51.2580
-12.5047,51.2580
-12.8620,51.9749
-12.8620,51.9749
-12.8620,51.9749
-12.8620,51.9749
-13.3979,51.0788
-13.3979,51.0788
