Time(s),Voltage(V)
-39.4790,63.6245
-39.4790,63.6245
-39.4790,63.6245
-32.1549,26.1667
-32.1549,26.1667
-32.1549,26.1667
-14.6483,56.6347
-14.6483,56.6347
-14.6483,56.6347
-14.6483,56.6347
-36.4422,65.9544
-36.4422,65.9544
-36.4422,65.9544
-36.4422,65.9544
-21.2579,32.4395
-21.2579,32.4395
-21.2579,32.4395
-9.4678,71.8688
-9.4678,71.8688
-9.4678,71.8688
-32.1549,62.0115
-32.1549,62.0115
-32.1549,62.0115
-32.1549,62.0115
-10.1824,34.9487
-10.1824,34.9487
-10.1824,34.9487
-10.1824,34.9487
-7.1455,78.5001
-7.1455,78.5001
-7.1455,78.5001
-25.1880,57.5309
-25.1880,57.5309
-25.1880,57.5309
-25.1880,57.5309
1.2505,39.6085
1.2505,39.6085
1.2505,39.6085
-2.1437,78.5001
-2.1437,78.5001
-2.1437,78.5001
-2.1437,78.5001
-17.6852,49.2866
-17.6852,49.2866
-17.6852,49.2866
-17.6852,49.2866
8.0387,43.9099
8.0387,43.9099
8.0387,43.9099
-5.3591,78.1416
-5.3591,78.1416
-5.3591,78.1416
-2.1437,54.4841
-2.1437,54.4841
-2.1437,54.4841
-2.1437,54.4841
-16.2561,32.4395
-16.2561,32.4395
-16.2561,32.4395
-16.2561,32.4395
5.8951,60.0400
5.8951,60.0400
5.8951,60.0400
-26.4385,79.9339
-26.4385,79.9339
-26.4385,79.9339
-26.4385,79.9339
-21.7939,27.6005
-21.7939,27.6005
-21.7939,27.6005
-6.9669,65.4167
-6.9669,65.4167
-6.9669,65.4167
-6.9669,65.4167
-38.4072,68.6428
-38.4072,68.6428
-38.4072,68.6428
-38.4072,68.6428
-29.2967,20.4315
-29.2967,20.4315
-29.2967,20.4315
-17.5065,63.4453
-17.5065,63.4453
-17.5065,63.4453
-48.2323,55.5594
-48.2323,55.5594
-48.2323,55.5594
-48.2323,55.5594
-31.2617,11.6496
-31.2617,11.6496
-31.2617,11.6496
-31.2617,11.6496
-25.5453,58.9647
-25.5453,58.9647
-25.5453,58.9647
-52.8769,36.2032
-52.8769,36.2032
-52.8769,36.2032
-52.8769,36.2032
-26.0812,6.0936
-26.0812,6.0936
-26.0812,6.0936
-27.5103,49.4658
-27.5103,49.4658
-27.5103,49.4658
-27.5103,49.4658
-49.6614,16.8470
-49.6614,16.8470
-49.6614,16.8470
-49.6614,16.8470
-15.8988,-1.2546
-15.8988,-1.2546
-15.8988,-1.2546
-25.0093,40.1462
-25.0093,40.1462
-25.0093,40.1462
-40.3722,0.3584
-40.3722,0.3584
-40.3722,0.3584
-40.3722,0.3584
-3.7514,-3.0468
-3.7514,-3.0468
-3.7514,-3.0468
-3.7514,-3.0468
-3.7514,-3.0468
-3.7514,-3.0468
-3.7514,-3.0468
-28.2248,-10.3950
-28.2248,-10.3950
-28.2248,-10.3950
-28.2248,-10.3950
8.2174,-0.7169
8.2174,-0.7169
8.2174,-0.7169
-14.8270,24.1952
-14.8270,24.1952
-14.8270,24.1952
-14.8270,24.1952
-12.8620,-13.9795
-12.8620,-13.9795
-12.8620,-13.9795
-12.8620,-13.9795
20.7220,9.3196
20.7220,9.3196
20.7220,9.3196
-9.1105,25.6290
-9.1105,25.6290
-9.1105,25.6290
3.2155,-10.0365
3.2155,-10.0365
3.2155,-10.0365
3.2155,-10.0365
28.7608,23.1199
28.7608,23.1199
28.7608,23.1199
-5.1805,30.6473
-5.1805,30.6473
-5.1805,30.6473
-5.1805,30.6473
16.0774,-1.7922
16.0774,-1.7922
16.0774,-1.7922
16.0774,-1.7922
33.2267,40.1462
33.2267,40.1462
33.2267,40.1462
-1.0718,34.7694
-1.0718,34.7694
-1.0718,34.7694
-1.0718,34.7694
24.1162,9.4989
24.1162,9.4989
24.1162,9.4989
31.0830,56.2763
31.0830,56.2763
31.0830,56.2763
31.0830,56.2763
-2.5009,39.4293
-2.5009,39.4293
-2.5009,39.4293
25.1880,22.4030
25.1880,22.4030
25.1880,22.4030
25.1880,22.4030
17.8638,72.4065
17.8638,72.4065
17.8638,72.4065
-7.3242,41.7592
-7.3242,41.7592
-7.3242,41.7592
-7.3242,41.7592
20.1861,34.9487
20.1861,34.9487
20.1861,34.9487
20.1861,34.9487
5.1805,80.4715
5.1805,80.4715
