Time(s),Voltage(V)
21.3276,19.1787
21.5069,19.3515
21.5069,19.3515
21.3276,19.5243
21.8653,20.0426
22.9407,19.6971
20.0731,19.0059
22.4030,18.8332
22.5822,20.7337
22.5822,18.3148
22.2238,17.9692
22.2238,17.9692
21.6861,20.5610
21.8653,19.0059
21.3276,18.1420
21.5069,18.6604
5.3767,3.8012
32.2603,-12.7858
41.2215,12.7858
41.2215,12.7858
14.1587,-8.1207
53.5879,-6.3929
45.8813,12.0947
28.4966,-14.3408
72.0480,1.0367
43.9099,6.0473
44.9852,-15.7231
78.3208,10.1941
36.7409,-2.2462
36.7409,-2.2462
57.3516,-12.0947
72.7649,12.7858
32.2603,-8.9846
65.5959,-7.9479
55.2010,10.7124
24.3744,-11.0580
66.3128,0.0000
29.3927,8.9846
25.6290,-7.4296
25.6290,-7.4296
56.0971,8.4663
5.0183,9.3302
28.6758,-6.9112
33.1564,13.6497
-7.8859,3.4556
29.9304,-5.7018
10.3950,14.5136
10.3950,14.5136
-8.0651,-3.9740
27.4213,-3.9740
-7.8859,10.7124
-1.2546,-11.9219
25.0913,0.6911
-14.5171,6.0473
10.2158,-14.3408
17.9224,6.5657
-12.3664,-5.0107
-12.3664,-5.0107
25.6290,-16.4142
15.4133,7.6024
2.5091,-17.2781
40.1462,-12.0947
25.2706,10.1941
-1.9715,-7.0840
35.4863,-21.4249
18.8185,13.9953
-10.2158,-9.1574
-10.2158,-9.1574
34.9487,-12.9586
-3.9429,16.9326
-8.7820,-11.9219
31.0057,-2.2462
-18.1016,15.7231
5.7352,-11.0580
26.8836,7.2568
26.8836,7.2568
-24.0160,9.6757
23.4783,-10.1941
18.1016,12.9586
-16.3094,1.5550
43.7306,-3.8012
9.8573,14.6864
3.0468,-6.7385
58.0685,3.8012
58.0685,3.8012
8.0651,6.3929
30.1096,-9.3302
66.4921,10.5397
12.1872,-4.1467
56.2763,-10.7124
65.5959,13.8225
22.4030,-13.3042
78.3208,-0.5183
52.8710,11.5763
35.6656,-19.5243
35.6656,-19.5243
85.3106,7.6024
43.1930,7.4296
45.1644,-21.4249
78.1416,17.9692
78.1416,17.9692
54.1256,-15.2047
60.0400,22.6343
60.0400,22.6343
16.8470,-7.2568
56.8140,-7.0840
32.6187,21.7704
10.9327,-11.9219
26.7044,-16.0687
24.7329,-16.9326
26.3459,-17.1053
25.0913,-16.2414
25.0913,-16.2414
25.2706,-17.4509
24.7329,-18.6604
25.6290,-17.4509
27.2420,-17.9692
25.6290,-18.4876
25.9875,-18.1420
26.5251,-16.2414
25.0913,-17.6237
25.0913,-18.3148
25.0913,-18.3148
25.6290,-18.1420
26.1667,-17.9692
25.6290,-17.4509
25.4498,-18.3148
24.9121,-19.8698
24.9121,-17.7965
24.3744,-17.6237
26.3459,-17.7965
26.3459,-17.7965
26.3459,-17.4509
26.1667,-17.6237
24.5537,-18.4876
25.6290,-18.8332
24.9121,-17.7965
26.8836,-18.6604
26.1667,-18.3148
26.5251,-18.6604
26.5251,-18.6604
25.2706,-18.8332
25.8082,-17.6237
26.3459,-18.1420
25.4498,-18.3148
25.8082,-16.9326
26.5251,-16.9326
26.8836,-18.6604
27.0628,-19.1787
27.0628,-19.1787
25.9875,-19.8698
