Time(s),Voltage(V)
20.7900,1.7278
20.7900,1.7278
61.8322,4.6651
61.8322,4.6651
36.7409,-8.8118
36.7409,-8.8118
38.8916,-6.7385
38.8916,-6.7385
39.6085,-7.7752
39.6085,-7.7752
38.7124,-5.5290
38.7124,-5.5290
39.4293,-7.6024
39.4293,-7.6024
18.6393,-2.7645
18.6393,-2.7645
57.5309,6.0473
57.5309,6.0473
30.8265,20.7337
30.8265,20.7337
10.2158,-0.8639
10.2158,-0.8639
47.4943,9.5030
47.4943,9.5030
47.4943,9.5030
8.0651,18.8332
8.0651,18.8332
5.9144,1.2095
35.4863,17.2781
35.4863,17.2781
-10.5742,19.8698
-10.5742,19.8698
5.9144,3.2828
5.9144,3.2828
5.9144,3.2828
22.0445,19.5243
22.0445,19.5243
-20.2523,20.9065
-20.2523,20.9065
11.2911,3.2828
11.2911,3.2828
12.0080,25.0533
12.0080,25.0533
-21.5069,16.9326
-21.5069,16.9326
18.6393,2.4189
18.6393,2.4189
6.9897,26.4355
6.9897,26.4355
-11.8288,8.6391
-11.8288,8.6391
28.8550,2.2462
28.8550,2.2462
11.4703,24.1894
11.4703,24.1894
4.3014,1.0367
4.3014,1.0367
41.5799,5.1834
41.5799,5.1834
17.5639,19.3515
17.5639,19.3515
24.9121,-8.1207
24.9121,-8.1207
24.9121,-8.1207
57.5309,9.5030
57.5309,9.5030
26.3459,12.6130
26.3459,12.6130
41.9384,-11.0580
41.9384,-11.0580
67.5674,13.9953
67.5674,13.9953
33.6941,2.0734
33.6941,2.0734
60.5777,-11.7491
60.5777,-11.7491
69.7181,14.3408
69.7181,14.3408
37.2786,-7.9479
37.2786,-7.9479
71.3311,-6.5657
71.3311,-6.5657
66.4921,13.3042
66.4921,13.3042
41.2215,-11.4036
41.2215,-11.4036
78.6793,-2.5917
78.6793,-2.5917
60.9361,9.6757
60.9361,9.6757
45.3436,-13.6497
45.3436,-13.6497
45.3436,-13.6497
81.3676,2.7645
81.3676,2.7645
51.2580,6.9112
51.2580,6.9112
45.1644,-11.4036
45.1644,-11.4036
76.8871,10.5397
76.8871,10.5397
62.5491,17.4509
62.5491,17.4509
27.2420,-10.7124
27.2420,-10.7124
80.4715,1.5550
80.4715,1.5550
64.3414,20.2154
64.3414,20.2154
37.9955,-13.8225
37.9955,-13.8225
87.1028,7.6024
87.1028,7.6024
56.0971,19.5243
56.0971,19.5243
44.0891,-12.7858
44.0891,-12.7858
83.8768,15.8959
83.8768,15.8959
41.9384,20.7337
41.9384,20.7337
46.0605,-10.5397
46.0605,-10.5397
72.5857,23.6710
72.5857,23.6710
24.9121,18.8332
24.9121,18.8332
45.5229,-6.5657
45.5229,-6.5657
54.6633,28.5089
54.6633,28.5089
54.6633,28.5089
8.7820,17.7965
8.7820,17.7965
42.6553,-1.3822
42.6553,-1.3822
31.7226,31.6190
31.7226,31.6190
-4.6598,13.1314
-4.6598,13.1314
36.7409,3.6284
36.7409,3.6284
6.2728,32.6557
6.2728,32.6557
-9.4989,9.1574
-9.4989,9.1574
33.1564,9.5030
33.1564,9.5030
-11.6496,31.9645
-11.6496,31.9645
-10.3950,6.2201
-10.3950,6.2201
29.3927,14.8592
29.3927,14.8592
-24.3744,25.5716
-24.3744,25.5716
1.9715,2.5917
1.9715,2.5917
27.4213,17.1053
27.4213,17.1053
-24.9121,15.7231
-24.9121,15.7231
-24.9121,15.7231
17.5639,0.3456
17.5639,0.3456
26.1667,19.6971
26.1667,19.6971
-18.1016,8.1207
-18.1016,8.1207
38.7124,1.7278
38.7124,1.7278
29.7512,22.1160
29.7512,22.1160
-0.7169,-1.0367
-0.7169,-1.0367
58.4270,9.3302
58.4270,9.3302
30.8265,21.0793
30.8265,21.0793
18.2808,-5.8746
18.2808,-5.8746
71.8688,16.4142
71.8688,16.4142
34.4110,16.2414
34.4110,16.2414
53.5879,29.2000
53.5879,29.2000
52.5126,29.2000
52.5126,29.2000
54.1256,29.7184
54.1256,29.7184
54.1256,29.7184
54.6633,29.8911
51.7957,29.8911
51.7957,29.8911
53.2295,28.8545
53.2295,28.8545
54.1256,29.7184
54.1256,29.7184
53.4087,28.3361
