Time(s),Voltage(V)
-67.1680,19.7146
-67.1680,19.7146
-67.1680,19.7146
-66.6320,21.6861
-66.6320,21.6861
-66.6320,21.6861
-66.6320,21.6861
-66.6320,21.6861
-66.6320,21.6861
-66.6320,21.6861
-67.8825,20.4315
-67.8825,20.4315
-67.8825,20.4315
-65.3816,19.7146
-65.3816,19.7146
-65.3816,19.7146
-65.3816,19.7146
-61.4515,17.9224
-61.4515,17.9224
-61.4515,17.9224
-58.5933,15.7717
-58.5933,15.7717
-58.5933,15.7717
-58.5933,15.7717
-56.9856,14.5171
-56.9856,14.5171
-56.9856,14.5171
-56.9856,14.5171
-53.4128,13.8002
-53.4128,13.8002
-53.4128,13.8002
-49.8401,12.0080
-49.8401,12.0080
-49.8401,12.0080
-49.8401,12.0080
-46.9818,12.3664
-46.9818,12.3664
-46.9818,12.3664
-42.8732,12.1872
-42.8732,12.1872
-42.8732,12.1872
-42.8732,12.1872
-41.8013,11.1119
-41.8013,11.1119
-41.8013,11.1119
-37.1567,13.2626
-37.1567,13.2626
-37.1567,13.2626
-37.1567,13.2626
-38.0499,13.0833
-38.0499,13.0833
-38.0499,13.0833
-34.1199,12.3664
-34.1199,12.3664
-34.1199,12.3664
-34.1199,12.3664
-33.0481,14.1587
-33.0481,14.1587
-33.0481,14.1587
-33.0481,14.1587
-29.6539,16.1301
-29.6539,16.1301
-29.6539,16.1301
-25.7239,16.8470
-25.7239,16.8470
-25.7239,16.8470
-25.7239,16.8470
-25.1880,18.8185
-25.1880,18.8185
-25.1880,18.8185
-24.2948,19.3562
-24.2948,19.3562
-24.2948,19.3562
-24.2948,19.3562
-22.1511,23.6576
-22.1511,23.6576
-22.1511,23.6576
-19.2929,25.4498
-19.2929,25.4498
-19.2929,25.4498
-19.2929,25.4498
-18.3997,27.4213
-18.3997,27.4213
-18.3997,27.4213
-17.6852,28.4966
-17.6852,28.4966
-17.6852,28.4966
-17.6852,28.4966
-16.0774,32.6187
-16.0774,32.6187
-16.0774,32.6187
-16.0774,32.6187
-14.4697,34.9487
-14.4697,34.9487
-14.4697,34.9487
-14.6483,44.0891
-14.6483,44.0891
-14.6483,44.0891
-14.6483,44.0891
-14.2911,46.2398
-14.2911,46.2398
-14.2911,46.2398
-17.3279,50.3619
-17.3279,50.3619
-17.3279,50.3619
-18.3997,53.2295
-18.3997,53.2295
-18.3997,53.2295
-18.3997,53.2295
-19.6502,56.2763
-19.6502,56.2763
-19.6502,56.2763
-19.6502,56.2763
-21.2579,61.1153
-21.2579,61.1153
-21.2579,61.1153
-23.5802,63.4453
-23.5802,63.4453
-23.5802,63.4453
-23.5802,63.4453
-26.2598,66.1336
