Time(s),Voltage(V)
-61.6302,20.2523
-61.6302,20.2523
-61.6302,20.2523
-62.8806,21.1484
-62.8806,21.1484
-62.8806,21.1484
-60.7370,19.7146
-60.7370,19.7146
-60.7370,19.7146
-60.7370,19.7146
-62.3447,20.9692
-62.3447,20.9692
-62.3447,20.9692
-61.2729,20.6107
-61.2729,20.6107
-61.2729,20.6107
-61.2729,20.6107
-60.0224,18.2808
-60.0224,18.2808
-60.0224,18.2808
-55.0206,15.4133
-55.0206,15.4133
-55.0206,15.4133
-55.0206,15.4133
-52.8769,13.9795
-52.8769,13.9795
-52.8769,13.9795
-52.8769,13.9795
-48.9469,12.5457
-48.9469,12.5457
-48.9469,12.5457
-45.7314,13.9795
-45.7314,13.9795
-45.7314,13.9795
-45.7314,13.9795
-45.0168,11.8288
-45.0168,11.8288
-45.0168,11.8288
-40.7295,12.5457
-40.7295,12.5457
-40.7295,12.5457
-40.7295,12.5457
-36.9781,11.6496
-36.9781,11.6496
-36.9781,11.6496
-35.0131,13.9795
-35.0131,13.9795
-35.0131,13.9795
-35.0131,13.9795
-31.6190,15.2340
-31.6190,15.2340
-31.6190,15.2340
-29.4753,15.2340
-29.4753,15.2340
-29.4753,15.2340
-29.4753,15.2340
-27.8676,17.5639
-27.8676,17.5639
-27.8676,17.5639
-27.8676,17.5639
-25.1880,18.8185
-25.1880,18.8185
-25.1880,18.8185
-22.8657,19.7146
-22.8657,19.7146
-22.8657,19.7146
-22.8657,19.7146
-20.7220,22.9407
-20.7220,22.9407
-20.7220,22.9407
-19.4716,24.5537
-19.4716,24.5537
-19.4716,24.5537
-18.5784,27.6005
-18.5784,27.6005
-18.5784,27.6005
-18.5784,27.6005
-18.0425,28.1382
-18.0425,28.1382
-18.0425,28.1382
-18.0425,28.1382
-14.1124,31.7226
-14.1124,31.7226
-14.1124,31.7226
-16.0774,32.2603
-16.0774,32.2603
-16.0774,32.2603
-16.0774,32.2603
-16.4347,36.2032
-16.4347,36.2032
-16.4347,36.2032
-16.4347,36.2032
-16.0774,39.0708
-16.0774,39.0708
-16.0774,39.0708
-15.0056,43.3722
-15.0056,43.3722
-15.0056,43.3722
-15.0056,43.3722
-15.8988,46.7774
-15.8988,46.7774
-15.8988,46.7774
-16.2561,48.9281
-16.2561,48.9281
-16.2561,48.9281
-17.1493,51.6165
-17.1493,51.6165
-17.1493,51.6165
-17.1493,51.6165
-18.2211,53.7672
-18.2211,53.7672
-18.2211,53.7672
-18.2211,53.7672
-20.5434,56.4555
-20.5434,56.4555
-20.5434,56.4555
-20.9007,59.3231
-20.9007,59.3231
-20.9007,59.3231
-20.9007,59.3231
-23.4016,62.1907
-23.4016,62.1907
-23.4016,62.1907
-26.2598,63.9829
-26.2598,63.9829
-26.2598,63.9829
-26.2598,63.9829
-29.1180,65.0583
-29.1180,65.0583
-29.1180,65.0583
-30.7258,66.3128
-30.7258,66.3128
-30.7258,66.3128
-30.7258,66.3128
-33.0481,67.2090
-33.0481,67.2090
-33.0481,67.2090
-35.9063,68.6428
-35.9063,68.6428
-35.9063,68.6428
-35.9063,68.6428
-37.6927,70.0765
-37.6927,70.0765
-37.6927,70.0765
-37.6927,70.0765
-42.1586,70.6142
-42.1586,70.6142
-42.1586,70.6142
-43.9450,69.5389
-43.9450,69.5389
-43.9450,69.5389
-43.9450,69.5389
-46.9818,70.0765
-46.9818,70.0765
-46.9818,70.0765
-49.4828,69.3596
-49.4828,69.3596
-49.4828,69.3596
-49.4828,69.3596
-51.8051,70.6142
-51.8051,70.6142
-51.8051,70.6142
-53.9487,68.1051
-53.9487,68.1051
-53.9487,68.1051
-53.9487,68.1051
-55.9138,66.1336
-55.9138,66.1336
-55.9138,66.1336
-59.8438,65.7752
-59.8438,65.7752
-59.8438,65.7752
-59.8438,65.7752
-61.6302,64.6998
-61.6302,64.6998
-61.6302,64.6998
-61.6302,64.6998
-63.7738,64.3414
-63.7738,64.3414
-63.7738,64.3414
-64.4884,62.1907
-64.4884,62.1907
-64.4884,62.1907
-64.4884,62.1907
-68.4184,59.3231
-68.4184,59.3231
-68.4184,59.3231
-69.3116,55.5594
-69.3116,55.5594
-69.3116,55.5594
-70.3835,54.1256
-70.3835,54.1256
-70.3835,54.1256
-70.3835,54.1256
-69.3116,50.1827
-69.3116,50.1827
-69.3116,50.1827
-69.3116,50.1827
-72.1698,46.9567
-72.1698,46.9567
-72.1698,46.9567
-71.8126,44.4475
-71.8126,44.4475
-71.8126,44.4475
-71.8126,44.4475
-72.1698,41.5799
-72.1698,41.5799
-72.1698,41.5799
-72.1698,41.5799
-72.1698,39.4293
-72.1698,39.4293
-72.1698,39.4293
-71.0980,36.5617
-71.0980,36.5617
-71.0980,36.5617
-69.8475,34.5902
-69.8475,34.5902
-69.8475,34.5902
-69.8475,34.5902
-70.3835,30.1096
-70.3835,30.1096
-70.3835,30.1096
-68.7757,29.2135
-68.7757,29.2135
-68.7757,29.2135
-68.7757,29.2135
-66.8107,27.2420
-66.8107,27.2420
-66.8107,27.2420
-66.8107,27.2420
-64.6670,24.7329
-64.6670,24.7329
-64.6670,24.7329
-61.6302,21.6861
-61.6302,21.6861
-61.6302,21.6861
-61.6302,21.6861
-59.8438,21.3276
-59.8438,21.3276
-59.8438,21.3276
-56.9856,19.5354
-56.9856,19.5354
-56.9856,19.5354
-56.9856,19.5354
-54.4847,16.6678
-54.4847,16.6678
-54.4847,16.6678
