Time(s),Voltage(V)
-20.7900,-8.6391
-21.3276,-7.7752
-21.3276,-7.7752
-21.3276,-7.7752
-24.3744,-8.2935
-24.0160,-7.9479
-25.0913,-9.3302
-26.7044,-9.1574
-27.0628,-9.8485
-27.6005,-6.9112
-28.4966,-7.0840
-30.1096,-8.6391
-32.0811,-7.0840
-32.0811,-7.0840
-33.6941,-8.9846
-35.8448,-7.2568
-34.9487,-9.1574
-37.4578,-7.4296
-37.9955,-7.2568
-39.2500,-8.1207
-41.0423,-7.7752
-41.9384,-7.9479
-41.9384,-7.9479
-43.9099,-7.7752
-44.8060,-8.6391
-45.7021,-7.7752
-47.8528,-8.4663
-48.2112,-9.1574
-50.3619,-7.7752
-51.0788,-8.1207
-51.7957,-9.1574
-51.7957,-9.1574
-51.9749,-8.2935
-52.6918,-8.9846
-54.8425,-8.2935
-54.8425,-8.2935
-57.5309,-8.8118
-56.2763,-7.9479
-55.9179,-6.2201
-56.4555,-7.7752
-56.4555,-7.7752
-56.9932,-7.9479
-59.6816,-6.7385
-58.2478,-8.8118
-59.6816,-7.7752
-58.7854,-7.9479
-58.7854,-8.6391
-58.9647,-8.1207
-59.1439,-8.2935
-58.7854,-6.9112
-58.7854,-6.9112
-58.9647,-8.8118
-59.6816,-8.4663
-59.3231,-9.8485
-58.2478,-8.1207
-57.8893,-8.1207
-58.4270,-9.3302
-56.6347,-8.2935
-57.7101,-7.2568
-57.7101,-7.2568
-54.6633,-9.1574
-54.6633,-9.1574
-52.5126,-8.8118
-51.0788,-8.4663
-51.4373,-8.1207
-50.7204,-9.8485
-49.8242,-7.9479
-47.3151,-7.9479
-47.3151,-7.9479
-48.9281,-8.4663
-46.2398,-7.9479
-42.8345,-10.1941
-44.0891,-7.9479
-41.5799,-9.3302
-40.6838,-8.4663
-39.4293,-9.3302
-37.0993,-8.1207
-37.2786,-8.2935
-37.2786,-8.2935
-34.7694,-9.6757
-32.9772,-7.9479
-31.7226,-9.1574
-30.4681,-8.9846
-28.8550,-9.8485
-26.8836,-6.9112
-24.0160,-8.2935
-21.6861,-8.8118
-21.6861,-8.8118
-18.9977,-9.6757
-16.4886,-7.6024
-18.2808,-8.9846
-16.1301,-9.3302
-13.8002,-8.1207
-14.1587,-9.8485
-12.1872,-10.3669
-11.4703,-8.9846
-11.4703,-8.9846
-10.5742,-10.1941
-10.9327,-9.5030
-10.7534,-10.3669
-10.2158,-9.5030
-8.4235,-9.1574
-8.2443,-8.6391
-6.9897,-9.8485
-6.0936,-9.3302
-6.0936,-9.3302
-7.7066,-10.1941
-6.8105,-9.6757
-6.8105,-9.6757
-6.0936,-8.9846
-6.0936,-8.9846
-7.7066,-9.1574
-7.1690,-9.6757
-6.6313,-9.5030
-7.3482,-10.5397
-7.3482,-10.5397
-8.0651,-9.5030
-7.3482,-10.1941
-8.6027,-8.6391
-8.9612,-8.9846
-9.8573,-9.1574
-12.0080,-8.8118
-10.2158,-8.8118
-12.1872,-8.2935
-12.1872,-8.2935
-13.2626,-9.3302
-14.1587,-8.8118
-14.6964,-7.6024
-16.6678,-9.5030
-16.4886,-7.9479
-17.7432,-9.5030
-18.1016,-8.8118
-18.1016,-8.8118
-19.5354,-9.5030
-19.3562,-7.9479
-21.1484,-8.9846
-21.8653,-7.6024
-21.8653,-8.6391
-22.2238,-9.3302
-23.8368,-9.1574
-24.1952,-7.4296
-24.7329,-8.6391
-24.1952,-8.4663
-24.1952,-8.4663
-25.0913,-8.2935
-24.9121,-7.0840
-24.5537,-7.7752
-24.7329,-8.6391
-24.9121,-7.0840
-24.3744,-8.2935
-24.3744,-10.0213
-22.9407,-8.2935
-22.9407,-8.2935
-24.9121,-10.1941
-23.2991,-9.3302
-24.7329,-7.6024
-24.5537,-8.1207
-25.2706,-8.1207
-24.0160,-9.6757
-25.4498,-7.9479
-25.4498,-7.9479
-25.2706,-7.7752
